Temperature,Next Day Temperature,Wilt
29.3,21.3,0
28.3,21.3,0
16.5,22.0,1
16.4,21.9,1
25.8,30.1,1
18.6,20.1,1
29.9,32.6,1
21.2,10.9,0
29.6,29.3,1
34.8,13.1,0
17.5,25.5,0
13.6,10.3,1
32.5,23.5,0
23.5,10.1,0
34.4,33.8,1
25.9,32.6,0
34.8,29.9,1
23.7,32.9,0
23.2,13.6,0
13.4,13.9,1
18.9,14.7,1
10.7,25.6,0
14.0,32.6,0
28.6,34.7,0
10.8,27.8,0
19.2,28.3,0
31.6,32.7,1
27.3,20.0,0
27.3,16.2,0
14.7,14.3,1
21.0,13.0,0
24.5,30.3,1
34.7,13.7,0
15.1,16.6,1
16.2,30.5,0
16.6,17.8,1
28.8,34.6,1
21.4,16.7,1
11.4,23.3,0
22.7,17.9,1
15.3,32.8,0
30.0,19.2,0
17.4,20.8,1
10.7,22.8,0
24.8,33.5,0
31.1,10.8,0
19.5,27.9,0
28.7,32.3,1
22.8,10.7,0
23.5,23.1,1
34.0,18.1,0
30.1,31.5,1
10.8,24.0,0
27.7,27.3,1
21.6,21.3,1
33.7,25.7,0
15.5,17.3,1
16.7,10.2,0
12.0,24.4,0
20.7,17.8,1
12.7,22.9,0
25.8,32.9,0
30.1,20.7,0
27.4,16.2,0
29.2,19.3,0
18.6,33.3,0
31.1,33.4,1
20.7,31.1,0
30.6,33.0,1
25.7,15.7,0
13.6,12.2,1
12.0,15.7,1
10.5,17.9,0
11.7,14.4,1
21.5,25.2,1
12.8,20.3,0
10.7,30.4,0
28.9,14.6,0
19.9,27.5,0
28.7,16.0,0
